Year,Month,Date,Tm,Pm,TmA,PmA,P
1965,11,1965/11/01,0.1,285.7,-2.163,105.483,1
1965,12,1965/12/01,0.1,199,0.597,45.36,1
1966,1,1966/1/01,1.5,320.1,2.355,170.526,1
1966,2,1966/2/01,0.8,364.7,1.8,228.46,1
1966,3,1966/3/01,1.3,20.6,0.497,-121.717,0
1966,4,1966/4/01,2.5,171.9,-0.49,43.53,1
1966,5,1966/5/01,8,85.6,1.06,-42.947,0
1966,6,1966/6/01,10.6,102.3,-1.057,26.547,1
1966,7,1966/7/01,15.4,2.1,-0.733,-22.343,0
1966,8,1966/8/01,16.4,27.6,0.793,-1.95,0
1966,9,1966/9/01,14.1,78.8,2.327,-12.86,0
1966,10,1966/10/01,3.8,335.3,-2.887,180.867,1
1966,11,1966/11/01,-1.8,361,-4.063,180.783,1
1966,12,1966/12/01,0.2,30.8,0.697,-122.84,0
1967,1,1967/1/01,-0.1,112.3,0.755,-37.274,0
1967,2,1967/2/01,-0.2,71.6,0.8,-64.64,0
1967,3,1967/3/01,3.9,119.6,3.097,-22.717,0
1967,4,1967/4/01,2.2,106.1,-0.79,-22.27,0
1967,5,1967/5/01,4.2,166.8,-2.74,38.253,1
1967,6,1967/6/01,9.9,52,-1.757,-23.753,0
1967,7,1967/7/01,18.6,8.1,2.467,-16.343,0
1967,8,1967/8/01,16.1,11.9,0.493,-17.65,0
1967,9,1967/9/01,11.8,26.5,0.027,-65.16,0
1967,10,1967/10/01,8.7,117.3,2.013,-37.133,0
1967,11,1967/11/01,1.2,234.7,-1.063,54.483,1
1967,12,1967/12/01,-1.2,83.5,-0.703,-70.14,0
1968,1,1968/1/01,0,33.7,0.855,-115.874,0
1968,2,1968/2/01,-1.9,223.2,-0.9,86.96,1
1968,3,1968/3/01,-0.7,73.8,-1.503,-68.517,0
1968,4,1968/4/01,2.1,124.2,-0.89,-4.17,0
1968,5,1968/5/01,5.7,90.9,-1.24,-37.647,0
1968,6,1968/6/01,13.2,42.5,1.543,-33.253,0
1968,7,1968/7/01,15.9,9.6,-0.233,-14.843,0
1968,8,1968/8/01,14.6,23.8,-1.007,-5.75,0
1968,9,1968/9/01,10.8,36.6,-0.973,-55.06,0
1968,10,1968/10/01,11.2,93.2,4.513,-61.233,0
1968,11,1968/11/01,3.3,240.6,1.037,60.383,1
1968,12,1968/12/01,-1.2,148.5,-0.703,-5.14,0
1969,1,1969/1/01,0.7,80.3,1.555,-69.274,0
1969,2,1969/2/01,-3.3,219.2,-2.3,82.96,1
1969,3,1969/3/01,-1,229.6,-1.803,87.283,1
1969,4,1969/4/01,2.5,143,-0.49,14.63,1
1969,5,1969/5/01,5.1,268,-1.84,139.453,1
1969,6,1969/6/01,10.2,78.4,-1.457,2.647,1
1969,7,1969/7/01,17.1,10.7,0.967,-13.743,0
1969,8,1969/8/01,15.4,30,-0.207,0.45,1
1969,9,1969/9/01,7.7,162.5,-4.073,70.84,1
1969,10,1969/10/01,7.5,176.6,0.813,22.167,1
1969,11,1969/11/01,1.1,178.7,-1.163,-1.517,0
1969,12,1969/12/01,-2.9,172.4,-2.403,18.76,1
1970,1,1970/1/01,-0.3,462.6,0.555,313.026,1
1970,2,1970/2/01,-1,46.5,0,-89.74,0
1970,3,1970/3/01,-1.2,72.2,-2.003,-70.117,0
1970,4,1970/4/01,2.9,23.7,-0.09,-104.67,0
1970,5,1970/5/01,7,147.5,0.06,18.953,1
1970,6,1970/6/01,11.2,91,-0.457,15.247,1
1970,7,1970/7/01,16.9,43,0.767,18.557,1
1970,8,1970/8/01,14.6,29.1,-1.007,-0.45,0
1970,9,1970/9/01,15.2,8.4,3.427,-83.26,0
1970,10,1970/10/01,6.6,8.9,-0.087,-145.533,0
1970,11,1970/11/01,4.5,175.1,2.237,-5.117,0
